record_id,rag,rag_role,authority_tier,domain,jurisdiction,subtopic,title,text,source_name,source_url,note,formulation_category
RAG1-AYUSH-0001,RAG1,domain_context,auxiliary_seed,Prior Art & Classical Literature,National (India),Ayurveda,TKDL Classical Texts Scope - Ayurveda,The Traditional Knowledge Digital Library transcribes 119 volumes/texts of Ayurveda into structured prior art for international patent office examiners.,TKDL,http://www.tkdl.res.in/tkdl/langdefault/common/SourceInfo.asp?GL=Eng,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
RAG1-AYUSH-0002,RAG1,domain_context,auxiliary_seed,Prior Art & Classical Literature,National (India),Unani,TKDL Classical Texts Scope - Unani,The Traditional Knowledge Digital Library transcribes 55 volumes/texts of Unani into structured prior art for international patent office examiners.,TKDL,http://www.tkdl.res.in/tkdl/langdefault/common/SourceInfo.asp?GL=Eng,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
RAG1-AYUSH-0003,RAG1,domain_context,auxiliary_seed,Prior Art & Classical Literature,National (India),Siddha,TKDL Classical Texts Scope - Siddha,The Traditional Knowledge Digital Library transcribes 91 volumes/texts of Siddha into structured prior art for international patent office examiners.,TKDL,http://www.tkdl.res.in/tkdl/langdefault/common/SourceInfo.asp?GL=Eng,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
RAG1-AYUSH-0004,RAG1,domain_context,auxiliary_seed,Prior Art & Classical Literature,National (India),Sowa Rigpa,TKDL Classical Texts Scope - Sowa Rigpa,The Traditional Knowledge Digital Library transcribes 1 volumes/texts of Sowa Rigpa into structured prior art for international patent office examiners.,TKDL,http://www.tkdl.res.in/tkdl/langdefault/common/SourceInfo.asp?GL=Eng,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
RAG1-AYUSH-0005,RAG1,domain_context,auxiliary_seed,Prior Art & Classical Literature,National (India),Yoga,TKDL Classical Texts Scope - Yoga,The Traditional Knowledge Digital Library transcribes 15 volumes/texts of Yoga into structured prior art for international patent office examiners.,TKDL,http://www.tkdl.res.in/tkdl/langdefault/common/SourceInfo.asp?GL=Eng,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
RAG1-AYUSH-0006,RAG1,domain_context,auxiliary_seed,Prior Art & Classical Literature,National (India),Total,TKDL Classical Texts Scope - Total,The Traditional Knowledge Digital Library transcribes 281 volumes/texts of Total into structured prior art for international patent office examiners.,TKDL,http://www.tkdl.res.in/tkdl/langdefault/common/SourceInfo.asp?GL=Eng,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
RAG1-AYUSH-0007,RAG1,domain_context,auxiliary_seed,Statutory Law,National (India),Section 6(1),Application for Intellectual Property Rights (NBA Approval),"No person shall apply for any intellectual property right, by whatever name called, in or outside India for any invention based on any research or information on a biological resource obtained from India without obtaining the previous approval of National Biodiversity Authority.",India Code,https://indiacode.nic.in,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
RAG1-AYUSH-0008,RAG1,domain_context,auxiliary_seed,Statutory Law,National (India),Section 40,Normally Traded Commodities (NTC) Exemption,Central Government may exempt biological resources normally traded as commodities from the requirement of prior intimation/approval when used for domestic consumption or trade.,India Code,https://indiacode.nic.in,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
RAG1-AYUSH-0009,RAG1,domain_context,auxiliary_seed,Statutory Law,National (India),First Schedule,"Authoritative Books of Ayurvedic, Siddha and Unani Systems","Specifies 54 canonical treatises (Charaka Samhita, Sushruta Samhita, Ashtanga Hridaya, Sharangadhara Samhita, Bhavaprakasha, Bhesajya Ratnavali, Ayurvedic Formulary of India Volumes I-III).",India Code,https://indiacode.nic.in,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
RAG1-AYUSH-0010,RAG1,domain_context,auxiliary_seed,Statutory Law,National (India),Section 3 & Schedule,Prohibition of Misleading Advertisements for Specified Disorders,"Prohibits advertising taking part in the publication of any advertisement referring to any drug claiming treatment of 54 conditions including diabetes, asthma, arthritis, and cancer.",India Code,https://indiacode.nic.in,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
RAG1-AYUSH-0011,RAG1,domain_context,auxiliary_seed,Patents & IPR Procedures,National (India),Section 3(p),Traditional Knowledge Patent Bar,An invention which in effect is traditional knowledge or which is an aggregation or duplication of known properties of traditionally known component or components is not patentable.,IP India,https://ipindia.gov.in,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
RAG1-AYUSH-0012,RAG1,domain_context,auxiliary_seed,Patents & IPR Procedures,National (India),Section 3(e),Admixture and Synergism Requirement,A substance obtained by a mere admixture resulting only in the aggregation of the properties of the components thereof or a process for producing such substance is unpatentable.,IP India,https://ipindia.gov.in,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
RAG1-AYUSH-0013,RAG1,domain_context,auxiliary_seed,Patents & IPR Procedures,National (India),Rule 12 & Form 27,Working of Patents & Expedited Examination for Startups,DPIIT-recognized AYUSH startups qualify for expedited patent examination under Form 18A. Form 27 statement of commercial working is filed once every 3 financial years.,IP India,https://ipindia.gov.in,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
RAG1-AYUSH-0014,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),NBA Form I,Access to Biological Resources for Commercial Utilization / Research,"Mandatory application for foreign entities, NRIs, or Indian companies with foreign equity participation (Section 3 of BD Act) accessing Indian bio-resources.",National Biodiversity Authority (NBA),https://nbaindia.nic.in,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
RAG1-AYUSH-0015,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),NBA Form III,Application for Applying for Intellectual Property Rights (IPR),Mandatory application by any person (Indian or foreign) applying for patents or IPR based on research on Indian biological resources.,National Biodiversity Authority (NBA),https://nbaindia.nic.in,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
